,商品名,価格,ポイント倍率
21,Anker Soundcore Spirit Dot 2（完全ワイヤレスイヤホン Bluetooth 5.0）【IPX7防水規格 / SweatGuardテクノロジー / 最大16時間音楽再生 / 短時間充電 (USB Type-C) / MCSyncテクノロジー / マイク内蔵 / PSE認証済】スポーツ フィットネス ランニング,7990,1
22,Anker PowerPort Solar ソーラーチャージャー(21W 2ポート USB )【PowerIQ搭載】,7480,1
23,Bluetooth スピーカー Soundcore Boost by Anker Bluetoothスピーカー20W スタイリッシュデザイン【迫力ある低音 / IPX5防水規格 / モバイルバッテリー機能搭載】,7299,1
24,Anker Soundcore Life Q20（Bluetooth5.0 オーバーイヤー型ヘッドホン）【アクティブノイズキャンセリング/ハイレゾ対応(AUX接続時) / 最大40時間音楽再生 / マイク内蔵】,6999,1
25,ワイヤレスイヤホン 【第2世代】Anker Soundcore Liberty Air Bluetooth 5.0【Qualcomm/aptX/ IPX5防水規格 / 最大28時間音楽再生 / cVc8.0ノイズキャンセリング / マイク内蔵 / グラフェン採用ドライバー / PSE認証済み】,6999,1
26,Anker PowerExpand+ 7-in-1 USB-C PD メディア ハブ 100W出力 Power Delivery USB-Cポート HDMI USB-Aポート,6999,1
27,Anker Soundcore 3 Bluetooth スピーカー イコライザー設定 チタニウムドライバー BassUpテクノロジー PartyCast機能 IPX7 防水規格 24時間連続再生 USB-C接続,6599,1
28,Anker 5-in-1 プレミアム USB-Cハブ【HDMIポート&1Gbpsイーサネットポート&3つのUSB3.0ポート搭載】MacBook/MacBook Air (2018) / MacBook Pro、ChromeBook他対応,6599,1
29,急速充電器 Anker PowerPort Solar Lite ソーラーチャージャー (15W 2ポート USB )【PowerIQ搭載】,6499,1
30,Bluetooth スピーカー Anker Zolo SonicG（Googleアシスタントスマートスピーカー）迫力あるクリアサウンドを実現した、シンプルで洗練されたコンパクトデザインのスマートスピーカー,8980,1
31,Anker Soundcore Spirit Dot 2（完全ワイヤレスイヤホン Bluetooth 5.0）【IPX7防水規格 / SweatGuardテクノロジー / 最大16時間音楽再生 / 短時間充電 (USB Type-C) / MCSyncテクノロジー / マイク内蔵 / PSE認証済】スポーツ フィットネス ランニング,7990,1
32,Anker PowerPort Solar ソーラーチャージャー(21W 2ポート USB )【PowerIQ搭載】,7480,1
33,Bluetooth スピーカー Soundcore Boost by Anker Bluetoothスピーカー20W スタイリッシュデザイン【迫力ある低音 / IPX5防水規格 / モバイルバッテリー機能搭載】,7299,1
34,Anker Soundcore Life Q20（Bluetooth5.0 オーバーイヤー型ヘッドホン）【アクティブノイズキャンセリング/ハイレゾ対応(AUX接続時) / 最大40時間音楽再生 / マイク内蔵】,6999,1
35,ワイヤレスイヤホン 【第2世代】Anker Soundcore Liberty Air Bluetooth 5.0【Qualcomm/aptX/ IPX5防水規格 / 最大28時間音楽再生 / cVc8.0ノイズキャンセリング / マイク内蔵 / グラフェン採用ドライバー / PSE認証済み】,6999,1
36,Anker PowerExpand+ 7-in-1 USB-C PD メディア ハブ 100W出力 Power Delivery USB-Cポート HDMI USB-Aポート,6999,1
37,Anker Soundcore 3 Bluetooth スピーカー イコライザー設定 チタニウムドライバー BassUpテクノロジー PartyCast機能 IPX7 防水規格 24時間連続再生 USB-C接続,6599,1
38,Anker 5-in-1 プレミアム USB-Cハブ【HDMIポート&1Gbpsイーサネットポート&3つのUSB3.0ポート搭載】MacBook/MacBook Air (2018) / MacBook Pro、ChromeBook他対応,6599,1
39,急速充電器 Anker PowerPort Solar Lite ソーラーチャージャー (15W 2ポート USB )【PowerIQ搭載】,6499,1
40,Bluetooth スピーカー Soundcore Flare by Anker 防水Bluetoothスピーカー12W【360°サウンド/BassUpテクノロジー/LEDライトエフェクト/IPX7防水規格】,6399,1
41,Anker PowerCore 26800 (26800mAh 超大容量 モバイルバッテリー) 【PSE認証済 / PowerIQ搭載 / デュアル入力ポート / 3台同時充電】iPhone / iPad / Android 他各種対応 (ブラック),6199,1
42,Anker Soundcore Life P2（完全ワイヤレスイヤホン Bluetooth 5.0）【IPX7防水規格 / 最大40時間音楽再生 / cVc8.0ノイズキャンセリング / グラフェン採用ドライバー / Qualcomm aptX / PSE認証済】,5999,1
43,Anker PowerCore Essential 20000 PD 【モバイルバッテリー / 大容量 20000mAh / PowerIQ 2.0搭載 / Power Delivery対応 / USB-C入出力ポート / PSE認証済】iPhone / iPad / Android各種対応,5999,1
44,Anker PowerExpand Direct 7-in-2 USB-C PD メディア ハブ 4K対応 HDMIポート 100W出力 Power Delivery 対応 Thunderbolt 3 USB-Cポート USB-A ポート microSD & SDカード スロット搭載,5999,1
45,ワイヤレスイヤホン Bluetooth 5.0 【第2世代】 Anker Soundcore Liberty Neo【IPX7防水規格 / 最大20時間音楽再生 / Siri対応 / グラフェン採用ドライバー / マイク内蔵 / PSE認証済】,5499,1
46,モバイルバッテリー Anker PowerCore II 20000 超大容量(20000mAh 2ポート モバイルバッテリー)【PowerIQ 2.0搭載 / PSE認証済】iPhone&Android対応,5499,1
47,Anker PowerCore 20100 (20100mAh 2ポート 超大容量 モバイルバッテリー) 【PSE認証済/PowerIQ搭載/マット仕上げ】iPhone&Android対応 (ブラック),5499,1
48,スピーカー【改善版】 Anker Soundcore 2(12W Bluetooth5.0 スピーカー 24時間連続再生) 【強化された低音 / IPX7防水規格 / デュアルドライバー / マイク内蔵 / ブルートゥース】,5339,1
49,モバイルバッテリー Anker PowerCore 20000 Redux（20000mAh 超大容量モバイルバッテリー）【PSE認証済/PowerIQ搭載/低電流モード搭載】iPhone & Android各種対応,5299,1
